id	iata	name	country	latitude	longitude
2594	GLH	Mid-Delta Regional Airport	United States	33.47953	-90.990105
2606	GLV	Golovin Airport	United States	64.54801	-163.01434
2639	GNU	Goodnews Airport	United States	59.11756	-161.5778
2640	GNV	Gainesville Regional Airport	United States	29.686312	-82.27664
2672	GPT	Gulfport–Biloxi International Airport	United States	30.413115	-89.07278
2676	GRB	Austin Straubel International Airport	United States	44.4927	-88.12718
2683	GRI	Central Nebraska Regional Airport	United States	40.969437	-98.31291
2685	GRK	Killeen–Fort Hood Regional Airport / Robert Gray Army Airfield	United States	31.06713	-97.828
2692	GRR	Gerald R. Ford International Airport	United States	42.884663	-85.52484
2711	GSO	Piedmont Triad International Airport	United States	36.104366	-79.93518
2712	GSP	Greenville–Spartanburg International Airport	United States	34.8959	-82.21723
2716	GST	Gustavus Airport	United States	58.42247	-135.70305
2720	GTF	Great Falls International Airport	United States	47.482502	-111.35663
2726	GTR	Golden Triangle Regional Airport	United States	33.451603	-88.5876
2734	GUC	Gunnison–Crested Butte Regional Airport	United States	38.53725	-106.9354
2837	HCR	Holy Cross Airport 	United States	62.187965	-159.77551
2846	HDN	Yampa Valley Airport	United States	40.481403	-107.21661
2879	HGR	Hagerstown Regional Airport 	United States	39.70511	-77.73119
2884	HHH	Hilton Head Airport 	United States	32.225105	-80.69735
2888	HHR	Hawthorne Municipal Airport 	United States	33.92228	-118.327324
2891	HIB	Range Regional Airport	United States	47.392155	-92.84215
2910	HKB	Healy Lake Airport	United States	63.866657	-148.97021
2930	HLN	Helena Regional Airport	United States	46.60958	-111.99023
2956	HNL	Honolulu International Airport	United States	21.324512	-157.92508
2957	HNM	Hana Airport	United States	20.79487	-156.01472
2959	HNS	Haines Airport	United States	59.247337	-135.5294
2962	HOB	Lea County Regional Airport	United States	32.69235	-103.21436
2971	HOM	Homer Airport	United States	59.643856	-151.49097
2978	HOT	Memorial Field Airport	United States	34.482746	-93.095604
2979	HOU	William P. Hobby Airport	United States	29.645914	-95.27689
2984	HPB	Hooper Bay Airport	United States	61.523182	-166.14513
2988	HPN	Westchester County Airport	United States	41.068333	-73.708664
2999	HRL	Valley International Airport	United States	26.226408	-97.65397
3001	HRO	Boone County Airport	United States	36.26096	-93.15412
3014	HSL	Huslia Airport 	United States	65.69793	-156.3511
3020	HSV	Huntsville International Airport 	United States	34.64033	-86.77569
3029	HTO	East Hampton Airport	United States	40.96125	-72.247826
3031	HTS	Tri-State Airport 	United States	38.368355	-82.55781
3054	HUS	Hughes Airport	United States	33.966175	-118.424706
3068	HVN	Tweed New Haven Airport	United States	41.26789	-72.88687
3069	HVR	Havre City–County Airport	United States	48.54383	-109.759125
3079	HYA	Barnstable Municipal Airport 	United States	41.66734	-70.284744
3083	HYG	Hydaburg Seaplane Base	United States	55.206318	-132.82831
